total words in file : 73046
unique words in file : 7152
The file is Sorted in Ascending order by Alphabetics
1.  [', 119] 
223.  [alloy, 1] 
224.  [allude, 3] 
225.  [alluded, 1] 
226.  [allured, 2] 
227.  [allurements, 1] 
228.  [alluring, 1] 
229.  [allusion, 2] 
230.  [almighty, 1] 
231.  [almost, 37] 
232.  [alone, 41] 
233.  [along, 13] 
234.  [aloud, 6] 
235.  [alphonse, 1] 
236.  [alpine, 2] 
237.  [alps, 5] 
238.  [already, 30] 
239.  [also, 61] 
240.  [alter, 4] 
241.  [alteration, 5] 
242.  [alterations, 1] 
243.  [altered, 6] 
244.  [alternate, 2] 
245.  [although, 51] 
246.  [altogether, 1] 
247.  [always, 23] 
248.  [am, 119] 
249.  [amassed, 1] 
250.  [amazed, 1] 
251.  [amazing, 1] 
252.  [ambition, 8] 
253.  [ameliorate, 1] 
254.  [amend, 1] 
255.  [america, 3] 
256.  [american, 1] 
257.  [amiable, 14] 
258.  [amid, 1] 
259.  [amidst, 8] 
260.  [among, 47] 
261.  [amongst, 1] 
262.  [amounted, 2] 
263.  [amphitheatre, 1] 
264.  [ample, 2] 
265.  [amuse, 2] 
266.  [amused, 1] 
267.  [amusement, 6] 
268.  [amusements, 1] 
269.  [an, 191] 
270.  [analysing, 1] 
271.  [analysis, 1] 
272.  [anatomize, 1] 
273.  [anatomy, 1] 
274.  [ancestors, 1] 
275.  [anchor, 1] 
276.  [ancient, 9] 
277.  [and, 2803] 
278.  [andes, 1] 
279.  [andrew', 1] 
280.  [anew, 3] 
281.  [angel, 8] 
282.  [angel', 1] 
283.  [angelic, 3] 
284.  [angelica, 1] 
285.  [anger, 5] 
286.  [angrily, 1] 
287.  [angry, 2] 
288.  [anguish, 24] 
289.  [animal, 9] 
290.  [animals, 4] 
291.  [animate, 2] 
292.  [animated, 6] 
293.  [animating, 1] 
294.  [animation, 7] 
295.  [annihilation, 3] 
296.  [announce, 2] 
297.  [announced, 1] 
298.  [annoyed, 1] 
299.  [annoying, 1] 
300.  [anon, 1] 
301.  [another, 41] 
302.  [another', 1] 
303.  [answer, 19] 
304.  [answered, 6] 
305.  [antelope, 1] 
306.  [anticipated, 1] 
307.  [anticipation, 1] 
308.  [anticipations, 1] 
309.  [antipathy, 1] 
310.  [antique, 1] 
311.  [antiquity, 1] 
312.  [anxiety, 5] 
313.  [anxious, 4] 
314.  [anxiously, 2] 
315.  [any, 106] 
316.  [anyone, 7] 
317.  [anything, 8] 
318.  [anywhere, 2] 
319.  [apart, 2] 
320.  [apartment, 9] 
321.  [apartments, 1] 
322.  [apathy, 1] 
323.  [apothecary, 1] 
324.  [appalling, 4] 
325.  [apparatus, 3] 
326.  [apparel, 2] 
327.  [apparent, 4] 
328.  [apparently, 7] 
329.  [apparition, 5] 
330.  [appeal, 1] 
331.  [appeals, 1] 
332.  [appear, 22] 
333.  [appearance, 29] 
334.  [appearances, 4] 
335.  [appeared, 55] 
336.  [appearing, 2] 
337.  [appears, 7] 
338.  [appeased, 1] 
339.  [appertaining, 2] 
340.  [appetite, 4] 
341.  [apple, 1] 
342.  [applicable, 3] 
343.  [application, 6] 
344.  [applied, 5] 
345.  [apply, 7] 
346.  [appointment, 1] 
347.  [appreciate, 1] 
348.  [apprehended, 1] 
349.  [apprehending, 1] 
350.  [apprehension, 4] 
351.  [apprehensions, 2] 
352.  [approach, 11] 
353.  [approached, 17] 
354.  [approaching, 2] 
355.  [approbation, 2] 
356.  [appropriated, 1] 
357.  [approve, 2] 
358.  [approved, 1] 
359.  [apt, 1] 
360.  [arab, 1] 
361.  [arabian, 13] 
362.  [arabic, 2] 
363.  [arbiters, 1] 
364.  [arch, 2] 
365.  [archangel, 5] 
366.  [archive, 12] 
367.  [ardent, 8] 
368.  [ardently, 10] 
369.  [ardour, 12] 
370.  [arduous, 1] 
371.  [are, 178] 
372.  [argue, 1] 
373.  [argument, 2] 
374.  [arguments, 7] 
375.  [aright, 1] 
376.  [ariosto, 1] 
377.  [arise, 6] 
378.  [arisen, 1] 
379.  [arising, 1] 
380.  [arm, 6] 
381.  [armada, 1] 
382.  [armed, 1] 
383.  [arms, 9] 
384.  [arose, 9] 
385.  [around, 32] 
386.  [aroused, 1] 
387.  [arrange, 2] 
388.  [arranged, 3] 
389.  [arrangements, 1] 
390.  [arranging, 6] 
391.  [array, 1] 
392.  [arrest, 1] 
393.  [arrested, 1] 
394.  [arrival, 8] 
395.  [arrive, 12] 
396.  [arrived, 28] 
397.  [arrives, 1] 
398.  [arriving, 1] 
399.  [arrow, 1] 
400.  [arrowy, 1] 
401.  [art, 7] 
402.  [arteries, 1] 
403.  [artery, 1] 
404.  [arthur, 1] 
405.  [arthur', 1] 
406.  [article, 1] 
407.  [articulate, 2] 
408.  [artifice, 1] 
409.  [artist, 1] 
410.  [arts, 2] 
411.  [arve, 3] 
412.  [arveiron, 1] 
413.  [as, 508] 
414.  [ascend, 5] 
415.  [ascended, 4] 
416.  [ascent, 3] 
417.  [ascertain, 1] 
418.  [ascertaining, 1] 
419.  [ascii, 2] 
420.  [ascribed, 2] 
421.  [ashamed, 1] 
422.  [ashes, 2] 
423.  [asia, 2] 
424.  [asiatics, 1] 
425.  [aside, 4] 
426.  [ask, 10] 
427.  [asked, 15] 
428.  [asks, 1] 
429.  [asleep, 2] 
430.  [aspect, 7] 
431.  [aspirations, 1] 
432.  [aspire, 1] 
433.  [aspired, 1] 
434.  [aspires, 1] 
435.  [ass, 2] 
436.  [assailed, 1] 
437.  [assassin, 2] 
438.  [assassinated, 1] 
439.  [assemblage, 2] 
440.  [assemblages, 1] 
441.  [assemblance, 1] 
442.  [assembled, 1] 
443.  [asserted, 1] 
444.  [assertion, 2] 
445.  [asseverations, 1] 
446.  [assigned, 1] 
447.  [assist, 5] 
448.  [assistance, 4] 
449.  [assistants, 1] 
450.  [assisted, 2] 
451.  [assisting, 1] 
452.  [assizes, 1] 
453.  [associate, 2] 
454.  [associated, 11] 
455.  [association, 1] 
456.  [assuage, 1] 
457.  [assume, 1] 
458.  [assumed, 5] 
459.  [assurance, 1] 
460.  [assurances, 1] 
461.  [assure, 4] 
462.  [assured, 8] 
463.  [assuredly, 3] 
464.  [assures, 1] 
465.  [astonished, 3] 
466.  [astonishing, 8] 
467.  [astonishment, 6] 
468.  [astounded, 1] 
469.  [astounding, 1] 
470.  [asylum, 4] 
471.  [at, 308] 
472.  [ate, 4] 
473.  [atlantic, 1] 
474.  [atmosphere, 3] 
475.  [atone, 1] 
476.  [atrocious, 1] 
477.  [attach, 1] 
478.  [attached, 7] 
479.  [attachment, 5] 
480.  [attack, 1] 
481.  [attacked, 2] 
482.  [attacks, 1] 
483.  [attain, 1] 
484.  [attained, 1] 
485.  [attainment, 1] 
486.  [attempt, 9] 
487.  [attempted, 8] 
488.  [attempts, 3] 
489.  [attend, 5] 
490.  [attendance, 1] 
491.  [attendant, 3] 
492.  [attendants, 2] 
493.  [attended, 9] 
494.  [attending, 4] 
495.  [attends, 1] 
496.  [attention, 21] 
497.  [attentions, 4] 
498.  [attentive, 1] 
499.  [attentively, 3] 
500.  [attitude, 2] 
501.  [attract, 1] 
502.  [attracted, 6] 
503.  [attractions, 1] 
504.  [attractive, 2] 
505.  [attracts, 1] 
506.  [attributed, 4] 
507.  [audible, 1] 
508.  [audibly, 1] 
509.  [auditor, 1] 
510.  [aught, 2] 
511.  [augmented, 3] 
512.  [augmenting, 1] 
513.  [auguries, 1] 
514.  [augury, 1] 
515.  [august, 6] 
516.  [aunt, 9] 
517.  [austria, 1] 
518.  [austrian, 1] 
519.  [author, 5] 
520.  [authority, 1] 
521.  [authors, 5] 
522.  [autumn, 5] 
523.  [avail, 2] 
524.  [available, 2] 
525.  [availed, 1] 
526.  [avalanche, 5] 
527.  [avenge, 1] 
528.  [avenue, 1] 
529.  [averred, 1] 
530.  [averse, 1] 
531.  [aversion, 1] 
532.  [avert, 2] 
533.  [avidity, 1] 
534.  [avoid, 6] 
535.  [avoided, 3] 
536.  [avow, 1] 
537.  [avowal, 1] 
538.  [await, 2] 
539.  [awaiting, 1] 
540.  [awake, 4] 
541.  [awaken, 2] 
542.  [awakened, 3] 
543.  [awaking, 1] 
544.  [award, 1] 
545.  [aware, 1] 
546.  [away, 52] 
547.  [awe, 2] 
548.  [awful, 3] 
549.  [awoke, 15] 
550.  [ay, 4] 
551.  [b, 3] 
552.  [babe, 1] 
553.  [babes, 1] 
554.  [back, 13] 
555.  [backs, 1] 
556.  [bad, 1] 
557.  [bade, 4] 
558.  [baffled, 2] 
559.  [balanced, 2] 
560.  [balancing, 1] 
561.  [ball, 1] 
562.  [ballots, 1] 
563.  [balminess, 1] 
564.  [balmy, 1] 
565.  [ban, 1] 
566.  [banish, 3] 
567.  [banished, 5] 
568.  [banker, 1] 
569.  [banks, 7] 
570.  [barbarity, 2] 
571.  [barbarous, 3] 
572.  [bare, 7] 
573.  [bared, 1] 
574.  [barks, 1] 
575.  [barn, 2] 
576.  [barred, 4] 
577.  [barren, 3] 
578.  [barricade, 1] 
579.  [barrier, 4] 
580.  [barriers, 1] 
581.  [base, 6] 
582.  [based, 2] 
583.  [basest, 1] 
584.  [basket, 3] 
585.  [bat, 1] 
586.  [bathed, 1] 
587.  [baths, 1] 
588.  [bauble, 1] 
589.  [be, 341] 
590.  [beach, 5] 
591.  [beam, 1] 
592.  [beaming, 1] 
593.  [bear, 6] 
594.  [bearing, 2] 
595.  [bears, 1] 
596.  [beast, 3] 
597.  [beasts, 1] 
598.  [beat, 5] 
599.  [beaten, 2] 
600.  [beaufort, 5] 
601.  [beaufort', 1] 
602.  [beauties, 3] 
603.  [beautiful, 27] 
604.  [beauty, 26] 
605.  [became, 52] 
606.  [because, 18] 
607.  [become, 28] 
608.  [becomes, 2] 
609.  [becoming, 2] 
610.  [bed, 15] 
611.  [bedewed, 1] 
612.  [bedim, 1] 
613.  [bedroom, 1] 
614.  [beds, 1] 
615.  [bedside, 1] 
616.  [been, 171] 
617.  [befall, 1] 
618.  [befallen, 2] 
619.  [befitting, 4] 
620.  [before, 142] 
621.  [beg, 1] 
622.  [began, 27] 
623.  [beggar, 2] 
624.  [beggars, 1] 
625.  [begged, 1] 
626.  [begin, 5] 
627.  [beginning, 9] 
628.  [begins, 1] 
629.  [begone, 7] 
630.  [begun, 2] 
631.  [behalf, 1] 
632.  [behaviour, 2] 
633.  [beheld, 28] 
634.  [behind, 11] 
635.  [behold, 12] 
636.  [beholding, 3] 
637.  [being, 92] 
638.  [beings, 22] 
639.  [belief, 2] 
640.  [believe, 33] 
641.  [believed, 10] 
642.  [believes, 4] 
643.  [believing, 2] 
644.  [belong, 1] 
645.  [belonged, 4] 
646.  [belonging, 4] 
647.  [belongs, 1] 
648.  [beloved, 21] 
649.  [below, 6] 
650.  [belrive, 4] 
651.  [bend, 2] 
652.  [bending, 1] 
653.  [beneath, 11] 
654.  [benefactor, 3] 
655.  [benefactors, 2] 
656.  [beneficence, 1] 
657.  [beneficial, 1] 
658.  [benefit, 7] 
659.  [benefits, 1] 
660.  [benevolence, 7] 
661.  [benevolent, 13] 
662.  [benevolently, 1] 
663.  [benignity, 2] 
664.  [bent, 9] 
665.  [benumbed, 1] 
666.  [bernard', 1] 
667.  [berries, 6] 
668.  [beside, 5] 
669.  [besides, 13] 
670.  [besieged, 1] 
671.  [besought, 1] 
672.  [bespoke, 1] 
673.  [best, 11] 
674.  [bestow, 13] 
675.  [bestowed, 13] 
676.  [bestowing, 2] 
677.  [betook, 1] 
678.  [betray, 2] 
679.  [betrayed, 2] 
680.  [better, 12] 
681.  [between, 19] 
682.  [beware, 2] 
683.  [bewildered, 4] 
684.  [beyond, 6] 
685.  [bid, 2] 
686.  [bidding, 1] 
687.  [bids, 1] 
688.  [bier, 1] 
689.  [bill, 1] 
690.  [binary, 1] 
691.  [bind, 1] 
692.  [binding, 1] 
693.  [birds, 5] 
694.  [birth, 8] 
695.  [bitter, 14] 
696.  [bitterest, 3] 
697.  [bitterly, 9] 
698.  [bitterness, 8] 
699.  [black, 14] 
700.  [blackbird, 1] 
701.  [blackest, 1] 
702.  [blackness, 1] 
703.  [blamable, 1] 
704.  [blame, 1] 
705.  [blameless, 1] 
706.  [blanc, 8] 
707.  [blankets, 1] 
708.  [blast, 5] 
709.  [blasted, 7] 
710.  [bleak, 4] 
711.  [bleakness, 1] 
712.  [bless, 5] 
713.  [blessed, 4] 
714.  [blessing, 3] 
715.  [blessings, 2] 
716.  [blew, 1] 
717.  [blight, 2] 
718.  [blind, 10] 
719.  [blinded, 2] 
720.  [blindness, 1] 
721.  [bliss, 3] 
722.  [blood, 18] 
723.  [bloodshed, 1] 
724.  [bloody, 1] 
725.  [bloom, 3] 
726.  [bloomed, 2] 
727.  [blooming, 4] 
728.  [blossom, 1] 
729.  [blot, 1] 
730.  [blotted, 1] 
731.  [blow, 4] 
732.  [blows, 3] 
733.  [blue, 10] 
734.  [blunt, 2] 
735.  [board, 6] 
736.  [boarder, 1] 
737.  [boast, 3] 
738.  [boat, 17] 
739.  [boats, 2] 
740.  [bodies, 3] 
741.  [bodily, 3] 
742.  [body, 20] 
743.  [boils, 1] 
744.  [bold, 2] 
745.  [bolt, 2] 
746.  [bolts, 1] 
747.  [bondage, 1] 
748.  [bonds, 3] 
749.  [bone, 1] 
750.  [bones, 1] 
751.  [book, 4] 
752.  [books, 11] 
753.  [bore, 7] 
754.  [born, 4] 
755.  [borne, 6] 
756.  [bosom, 9] 
757.  [bosoms, 1] 
758.  [boss, 2] 
759.  [both, 10] 
760.  [bottom, 4] 
761.  [bought, 3] 
762.  [bound, 17] 
763.  [boundaries, 2] 
764.  [boundary, 4] 
765.  [bounded, 3] 
766.  [bounding, 2] 
767.  [boundless, 3] 
768.  [bounds, 6] 
769.  [bounty, 1] 
770.  [bourne, 1] 
771.  [bowing, 1] 
772.  [boy, 6] 
773.  [boy', 1] 
774.  [boyhood, 2] 
775.  [braces, 1] 
776.  [braided, 1] 
777.  [brain, 1] 
778.  [brake, 1] 
779.  [brambles, 1] 
780.  [branch, 4] 
781.  [branches, 11] 
782.  [brand, 1] 
783.  [brandy, 1] 
784.  [brave, 3] 
785.  [breach, 2] 
786.  [bread, 4] 
787.  [break, 4] 
788.  [breakers, 1] 
789.  [breakfast, 5] 
790.  [breaking, 3] 
791.  [breast, 3] 
792.  [breath, 2] 
793.  [breathe, 3] 
794.  [breathed, 3] 
795.  [breathless, 2] 
796.  [breeze, 10] 
797.  [breezes, 2] 
798.  [brethren, 1] 
799.  [bridal, 1] 
800.  [bride, 1] 
801.  [brides, 1] 
802.  [bridge, 1] 
803.  [briefly, 2] 
804.  [bright, 6] 
805.  [brightest, 1] 
806.  [brightly, 1] 
807.  [brightness, 2] 
808.  [brilliant, 1] 
809.  [bring, 3] 
810.  [bringing, 1] 
811.  [brink, 3] 
812.  [britain, 2] 
813.  [broad, 2] 
814.  [broke, 5] 
815.  [broken, 8] 
816.  [brooded, 2] 
817.  [brooding, 1] 
818.  [brook, 2] 
819.  [brother, 23] 
820.  [brother', 1] 
821.  [brotherly, 1] 
822.  [brothers, 5] 
823.  [brought, 26] 
824.  [brow, 1] 
825.  [brows, 1] 
826.  [bruised, 1] 
827.  [brutality, 2] 
828.  [brute, 1] 
829.  [bud, 2] 
830.  [budding, 1] 
831.  [buds, 1] 
832.  [buffeted, 1] 
833.  [building, 1] 
834.  [buildings, 1] 
835.  [built, 2] 
836.  [burden, 4] 
837.  [burdened, 1] 
838.  [buried, 1] 
839.  [burn, 1] 
840.  [burned, 3] 
841.  [burning, 9] 
842.  [burns, 1] 
843.  [burnt, 2] 
844.  [burst, 8] 
845.  [bursting, 1] 
846.  [bury, 1] 
847.  [bushes, 1] 
848.  [busied, 3] 
849.  [busier, 1] 
850.  [business, 4] 
851.  [bustle, 1] 
852.  [busy, 7] 
853.  [but, 654] 
854.  [buy, 1] 
855.  [by, 446] 
856.  [c, 5] 
857.  [cabin, 8] 
858.  [cabriolet, 1] 
859.  [cadence, 1] 
860.  [caesar, 1] 
861.  [cake, 1] 
862.  [calamities, 1] 
863.  [calamity, 1] 
864.  [calculate, 1] 
865.  [calculated, 2] 
866.  [calculating, 1] 
867.  [calculations, 1] 
868.  [call, 12] 
869.  [called, 25] 
870.  [calling, 2] 
871.  [callous, 1] 
872.  [calm, 20] 
873.  [calmed, 4] 
874.  [calmer, 3] 
875.  [calmly, 1] 
876.  [calmness, 2] 
877.  [came, 40] 
878.  [campagne, 1] 
879.  [can, 96] 
880.  [candle, 1] 
881.  [candour, 2] 
882.  [cannot, 44] 
883.  [canopied, 1] 
884.  [canopy, 1] 
885.  [canst, 1] 
886.  [canvassed, 1] 
887.  [capable, 13] 
888.  [capacious, 1] 
889.  [capacities, 1] 
890.  [capacity, 3] 
891.  [cape, 1] 
892.  [capitulated, 1] 
893.  [caprice, 1] 
894.  [caprices, 1] 
895.  [captain, 4] 
896.  [captive, 1] 
897.  [care, 22] 
898.  [career, 3] 
899.  [carefully, 3] 
900.  [careless, 1] 
901.  [carelessly, 2] 
902.  [carelessness, 3] 
903.  [cares, 5] 
904.  [caresses, 2] 
905.  [carnage, 1] 
906.  [caroline, 3] 
907.  [carpeted, 1] 
908.  [carriage, 3] 
909.  [carriages, 1] 
910.  [carried, 10] 
911.  [carry, 3] 
912.  [carrying, 1] 
913.  [case, 9] 
914.  [casement, 1] 
915.  [cast, 10] 
916.  [casting, 1] 
917.  [castle, 2] 
918.  [castles, 4] 
919.  [casualties, 1] 
920.  [catalogue, 1] 
921.  [catastrophe, 3] 
922.  [catching, 1] 
923.  [catholic, 1] 
924.  [caught, 2] 
925.  [causation, 1] 
926.  [cause, 35] 
927.  [caused, 10] 
928.  [causes, 4] 
929.  [causing, 1] 
930.  [caution, 1] 
931.  [cave, 1] 
932.  [caves, 5] 
933.  [cease, 8] 
934.  [ceased, 11] 
935.  [ceasing, 1] 
936.  [celebrated, 2] 
937.  [celestial, 5] 
938.  [cell, 2] 
939.  [cemetery, 1] 
940.  [cenis, 1] 
941.  [centre, 1] 
942.  [centred, 1] 
943.  [century, 2] 
944.  [ceremony, 3] 
945.  [certain, 7] 
946.  [certainly, 11] 
947.  [certainty, 5] 
948.  [chain, 2] 
949.  [chained, 3] 
950.  [chains, 2] 
951.  [chair, 5] 
952.  [chairs, 1] 
953.  [chaise, 1] 
954.  [chamber, 9] 
955.  [chamois, 1] 
956.  [chamounix, 5] 
957.  [chance, 7] 
958.  [chanced, 1] 
959.  [chances, 1] 
960.  [change, 27] 
961.  [changeable, 1] 
962.  [changed, 10] 
963.  [changes, 3] 
964.  [changing, 1] 
965.  [channel, 1] 
966.  [chapter, 24] 
967.  [character, 7] 
968.  [characteristically, 1] 
969.  [characters, 3] 
970.  [charge, 14] 
971.  [charged, 3] 
972.  [charges, 1] 
973.  [charging, 1] 
974.  [charitable, 1] 
975.  [charities, 1] 
976.  [charity, 2] 
977.  [charm, 3] 
978.  [charmed, 1] 
979.  [charming, 1] 
980.  [charms, 1] 
981.  [charnel, 2] 
982.  [chase, 2] 
983.  [chasms, 1] 
984.  [chastise, 1] 
985.  [chattered, 2] 
986.  [cheat, 2] 
987.  [check, 2] 
988.  [checked, 3] 
989.  [checks, 1] 
990.  [cheek, 6] 
991.  [cheeks, 7] 
992.  [cheered, 2] 
993.  [cheerful, 11] 
994.  [cheerfully, 3] 
995.  [cheerfulness, 4] 
996.  [cheering, 2] 
997.  [cheese, 3] 
998.  [chemical, 5] 
999.  [chemist, 1] 
1000.  [chemistry, 5] 
1001.  [chemists, 1] 
1002.  [chene, 1] 
1003.  [cherish, 1] 
1004.  [cherished, 3] 
1005.  [cherub, 1] 
1006.  [chief, 5] 
1007.  [chiefly, 5] 
1008.  [child, 34] 
1009.  [child', 1] 
1010.  [childhood, 5] 
1011.  [childish, 3] 
1012.  [childless, 1] 
1013.  [children, 18] 
1014.  [chill, 3] 
1015.  [chilled, 2] 
1016.  [chilly, 1] 
1017.  [chimera, 1] 
1018.  [chimeras, 1] 
1019.  [chimerical, 1] 
1020.  [chimney, 2] 
1021.  [chink, 2] 
1022.  [chinks, 1] 
1023.  [chivalry, 2] 
1024.  [choice, 3] 
1025.  [choicest, 1] 
1026.  [choose, 2] 
1027.  [chord, 2] 
1028.  [chosen, 5] 
1029.  [christian, 3] 
1030.  [christianity, 1] 
1031.  [christy, 2] 
1032.  [church, 1] 
1033.  [churchyard, 1] 
1034.  [circle, 2] 
1035.  [circulates, 1] 
1036.  [circumstance, 10] 
1037.  [circumstances, 13] 
1038.  [circumstantial, 2] 
1039.  [citadel, 1] 
1040.  [city, 13] 
1041.  [civilized, 1] 
1042.  [clad, 1] 
1043.  [claim, 9] 
1044.  [claimed, 1] 
1045.  [claims, 1] 
1046.  [clapped, 2] 
1047.  [clapping, 1] 
1048.  [clasped, 1] 
1049.  [clasping, 2] 
1050.  [class, 1] 
1051.  [classes, 1] 
1052.  [classifications, 1] 
1053.  [clay, 1] 
1054.  [clean, 1] 
1055.  [cleaning, 1] 
1056.  [clear, 10] 
1057.  [cleared, 3] 
1058.  [clearly, 3] 
1059.  [clearness, 1] 
1060.  [clemency, 1] 
1061.  [clerval, 57] 
1062.  [clever, 1] 
1063.  [cliffs, 1] 
1064.  [climate, 2] 
1065.  [climbing, 1] 
1066.  [climes, 1] 
1067.  [cling, 3] 
1068.  [clinging, 1] 
1069.  [clings, 3] 
1070.  [cloak, 3] 
1071.  [clock, 8] 
1072.  [close, 15] 
1073.  [closed, 6] 
1074.  [closely, 2] 
1075.  [closer, 3] 
1076.  [closest, 1] 
1077.  [closing, 1] 
1078.  [clothed, 2] 
1079.  [clothes, 4] 
1080.  [clothing, 1] 
1081.  [cloud, 9] 
1082.  [clouded, 4] 
1083.  [cloudless, 4] 
1084.  [clouds, 13] 
1085.  [cloudy, 1] 
1086.  [clue, 3] 
1087.  [clump, 1] 
1088.  [clung, 4] 
1089.  [coarse, 4] 
1090.  [coarser, 1] 
1091.  [coarsest, 1] 
1092.  [coast, 1] 
1093.  [coasting, 1] 
